Symbol,Name,MarketCap,IPOyear,Sector,Industry,Date
CATS,"Catasys, Inc.",58948824.41,n/a,Health Care,Hospital/Nursing Management,31/10/17
CATY,Cathay General Bancorp,3418972409,n/a,Finance,Major Banks,31/10/17
CATYW,Cathay General Bancorp,0,n/a,Finance,Major Banks,31/10/17
CVCO,"Cavco Industries, Inc.",1400268836,n/a,Basic Industries,Homebuilding,31/10/17
CAVM,"Cavium, Inc.",4758873648,2007,Technology,Semiconductors,31/10/17
CBFV,"CB Financial Services, Inc.",119574731.3,n/a,Finance,Major Banks,31/10/17
CBAK,"CBAK Energy Technology, Inc.",44579638.9,n/a,Miscellaneous,Industrial Machinery/Components,31/10/17
CBOE,"Cboe Global Markets, Inc.",12625423885,2010,Finance,Investment Bankers/Brokers/Service,31/10/17
CDK,"CDK Global, Inc.",9368845542,n/a,Miscellaneous,Business Services,31/10/17
CDW,CDW Corporation,10778155080,2013,Consumer Services,Catalog/Specialty Distribution,31/10/17
CECE,CECO Environmental Corp.,305872868.9,n/a,Capital Goods,Pollution Control Equipment,31/10/17
CELC,Celcuity Inc.,158858297,2017,Health Care,Medical Specialities,31/10/17
CELG,Celgene Corporation,76803365470,1987,Health Care,Major Pharmaceuticals,31/10/17
CELGZ,Celgene Corporation,0,n/a,Health Care,Major Pharmaceuticals,31/10/17
CLDX,"Celldex Therapeutics, Inc.",310587119.7,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,31/10/17
APOP,Cellect Biotechnology Ltd.,17913325.65,2016,n/a,n/a,31/10/17
APOPW,Cellect Biotechnology Ltd.,0,2016,n/a,n/a,31/10/17
CLRB,"Cellectar Biosciences, Inc.",24195360.33,n/a,Health Care,Major Pharmaceuticals,31/10/17
CLRBW,"Cellectar Biosciences, Inc.",0,n/a,Health Care,Major Pharmaceuticals,31/10/17
CLRBZ,"Cellectar Biosciences, Inc.",0,n/a,Health Care,Major Pharmaceuticals,31/10/17
CLLS,Cellectis S.A.,270315617.3,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
CBMG,"Cellular Biomedicine Group, Inc.",135444374.4,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
CLSN,Celsion Corporation,19291553.82,n/a,Health Care,Major Pharmaceuticals,31/10/17
CELH,"Celsius Holdings, Inc.",233502184.5,n/a,Consumer Non-Durables,Beverages (Production/Distribution),31/10/17
CYAD,Celyad SA,31363442,2015,Health Care,Major Pharmaceuticals,31/10/17
CEMP,"Cempra, Inc.",111582222.1,2012,Health Care,Major Pharmaceuticals,31/10/17
CETX,Cemtrex Inc.,30540628.34,n/a,Capital Goods,Industrial Machinery/Components,31/10/17
CETXP,Cemtrex Inc.,0,n/a,Capital Goods,Industrial Machinery/Components,31/10/17
CETXW,Cemtrex Inc.,0,n/a,Capital Goods,Industrial Machinery/Components,31/10/17
CDEV,"Centennial Resource Development, Inc.",5254499778,2016,Energy,Oil & Gas Production,31/10/17
CSFL,CenterState Bank Corporation,1653248012,n/a,Finance,Major Banks,31/10/17
CETV,Central European Media Enterprises Ltd.,666290105,1994,Consumer Services,Broadcasting,31/10/17
CFBK,Central Federal Corporation,57381545.6,n/a,Finance,Savings Institutions,31/10/17
CENT,Central Garden & Pet Company,1989700069,1993,Consumer Durables,Consumer Specialties,31/10/17
CENTA,Central Garden & Pet Company,1932747946,n/a,Consumer Durables,Consumer Specialties,31/10/17
CVCY,Central Valley Community Bancorp,286709037.5,n/a,Finance,Major Banks,31/10/17
CENX,Century Aluminum Company,1325475658,1996,Basic Industries,Aluminum,31/10/17
CNBKA,"Century Bancorp, Inc.",483016105.8,1987,Finance,Major Banks,31/10/17
CNTY,"Century Casinos, Inc.",201376726.1,n/a,Consumer Services,Hotels/Resorts,31/10/17
CVO,Cenveo Inc,12013254.4,n/a,Consumer Durables,Containers/Packaging,31/10/17
CRNT,Ceragon Networks Ltd.,162902055,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,31/10/17
CERC,Cerecor Inc.,25533759.86,2015,Health Care,Major Pharmaceuticals,31/10/17
CERCW,Cerecor Inc.,0,2015,Health Care,Major Pharmaceuticals,31/10/17
CERN,Cerner Corporation,21655660586,1986,Technology,EDP Services,31/10/17
CERS,Cerus Corporation,314317108.8,1997,Health Care,Medical/Dental Instruments,31/10/17
KOOL,Cesca Therapeutics Inc.,39142575.99,n/a,Capital Goods,Medical Specialities,31/10/17
CEVA,"CEVA, Inc.",1020787822,n/a,Technology,Semiconductors,31/10/17
CFCO,CF Corporation,915600000,2016,Finance,Life Insurance,31/10/17
CFCOU,CF Corporation,0,2016,Finance,Life Insurance,31/10/17
CFCOW,CF Corporation,0,2016,Finance,Life Insurance,31/10/17
CSBR,"Champions Oncology, Inc.",35155091.2,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
CYOU,Changyou.com Limited,705964831.4,2009,Technology,Computer Software: Prepackaged Software,31/10/17
HOTR,"Chanticleer Holdings, Inc.",5401153.44,n/a,Consumer Services,Restaurants,31/10/17
CTHR,Charles & Colvard Ltd,18579899.42,1997,Consumer Durables,Consumer Specialties,31/10/17
GTLS,"Chart Industries, Inc.",1382119499,2006,Capital Goods,Metal Fabrications,31/10/17
CHTR,"Charter Communications, Inc.",82460902464,n/a,Consumer Services,Television Services,31/10/17
CHFN,Charter Financial Corp.,295901418.6,2010,Finance,Savings Institutions,31/10/17
CHKP,Check Point Software Technologies Ltd.,19502086470,1996,Technology,Computer Software: Prepackaged Software,31/10/17
CHEK,Check-Cap Ltd.,24790573.7,2015,Health Care,Medical Electronics,31/10/17
CHEKW,Check-Cap Ltd.,0,2015,Health Care,Medical Electronics,31/10/17
CKPT,"Checkpoint Therapeutics, Inc.",157031479.3,n/a,Health Care,Major Pharmaceuticals,31/10/17
CEMI,"Chembio Diagnostics, Inc.",74470188.1,n/a,Health Care,Major Pharmaceuticals,31/10/17
CHFC,Chemical Financial Corporation,3832958240,n/a,Finance,Major Banks,31/10/17
CCXI,"ChemoCentryx, Inc.",340947663,2012,Health Care,Major Pharmaceuticals,31/10/17
CHMG,Chemung Financial Corp,218651316,n/a,Finance,Major Banks,31/10/17
CHKE,Cherokee Inc.,33480048,n/a,Consumer Non-Durables,Apparel,31/10/17
CHFS,"CHF Solutions, Inc.",219662.82,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,31/10/17
CHMA,"Chiasma, Inc.",53591084.8,2015,Health Care,Major Pharmaceuticals,31/10/17
CSSE,"Chicken Soup for the Soul Entertainment, Inc.",26193526.17,2017,Consumer Services,Movies/Entertainment,31/10/17
PLCE,"Children&#39;s Place, Inc. (The)",1939503047,1997,Consumer Services,Clothing/Shoe/Accessory Stores,31/10/17
CMRX,"Chimerix, Inc.",230527007.2,2013,Health Care,Major Pharmaceuticals,31/10/17
CADC,"China Advanced Construction Materials Group, Inc.",4178401.5,n/a,Basic Industries,Engineering & Construction,31/10/17
CALI,China Auto Logistics Inc.,9682545.6,n/a,Consumer Services,Motor Vehicles,31/10/17
CAAS,"China Automotive Systems, Inc.",160118660.2,n/a,Capital Goods,Auto Parts:O.E.M.,31/10/17
CBPO,"China Biologic Products Holdings, Inc.",2219791016,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
CCCL,"China Ceramics Co., Ltd.",4562507.95,n/a,Capital Goods,Building Materials,31/10/17
CCCR,"China Commercial Credit, Inc.",58684091.4,2013,Finance,Major Banks,31/10/17
CCRC,"China Customer Relations Centers, Inc.",228570112,2015,Miscellaneous,Business Services,31/10/17
JRJC,China Finance Online Co. Limited,48380690.28,2004,Finance,Investment Bankers/Brokers/Service,31/10/17
HGSH,"China HGS Real Estate, Inc.",54510500,n/a,Finance,Real Estate,31/10/17
CNIT,"China Information Technology, Inc.",52300506.7,n/a,Technology,Computer Software: Prepackaged Software,31/10/17
CIFS,China Internet Nationwide Financial Services Inc.,923220000,2017,Consumer Services,Professional Services,31/10/17
CJJD,"China Jo-Jo Drugstores, Inc.",38830604.12,n/a,Consumer Durables,Specialty Chemicals,31/10/17
CLDC,China Lending Corporation,97886326.04,2014,Finance,Diversified Financial Services,31/10/17
HTHT,"China Lodging Group, Limited",4230668524,2010,Consumer Services,Hotels/Resorts,31/10/17
CHNR,"China Natural Resources, Inc.",55053124.36,n/a,Basic Industries,Precious Metals,31/10/17
CREG,China Recycling Energy Corporation,10055339.58,n/a,Miscellaneous,Business Services,31/10/17
CNTF,China TechFaith Wireless Communication Technology Limited,16187541.01,2005,n/a,n/a,31/10/17
CXDC,China XD Plastics Company Limited,240378531.6,n/a,Capital Goods,Containers/Packaging,31/10/17
CCIH,ChinaCache International Holdings Ltd.,21814141.66,2010,Technology,EDP Services,31/10/17
CNET,"ChinaNet Online Holdings, Inc.",14932055.82,n/a,Technology,"Computer Software: Programming, Data Processing",31/10/17
IMOS,ChipMOS TECHNOLOGIES INC.,250324857.8,n/a,Technology,Semiconductors,31/10/17
CDXC,ChromaDex Corporation,193679023.3,n/a,Consumer Durables,Specialty Chemicals,31/10/17
CHSCL,CHS Inc,0,n/a,Consumer Services,Farming/Seeds/Milling,31/10/17
CHSCM,CHS Inc,518890000,n/a,Consumer Services,Farming/Seeds/Milling,31/10/17
CHSCN,CHS Inc,469392000,n/a,Consumer Services,Farming/Seeds/Milling,31/10/17
CHSCO,CHS Inc,328369266.8,n/a,Consumer Services,Farming/Seeds/Milling,31/10/17
CHSCP,CHS Inc,216244514.2,n/a,Consumer Services,Farming/Seeds/Milling,31/10/17
CHDN,"Churchill Downs, Incorporated",3210307637,n/a,Consumer Services,Services-Misc. Amusement & Recreation,31/10/17
CHUY,"Chuy&#39;s Holdings, Inc.",382912361,2012,Consumer Services,Restaurants,31/10/17
CDTX,"Cidara Therapeutics, Inc.",129968346.2,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
CMCT,CIM Commercial Trust Corporation,960739076.8,n/a,Consumer Services,Real Estate Investment Trusts,31/10/17
CMPR,Cimpress N.V,3370081308,n/a,Miscellaneous,Publishing,31/10/17
CINF,Cincinnati Financial Corporation,11647671435,n/a,Finance,Property-Casualty Insurers,31/10/17
CIDM,Cinedigm Corp,17071806.25,n/a,Consumer Services,Consumer Electronics/Video Chains,31/10/17
CTAS,Cintas Corporation,16111492591,1983,Consumer Non-Durables,Apparel,31/10/17
CRUS,"Cirrus Logic, Inc.",3638005606,1989,Technology,Semiconductors,31/10/17
CSCO,"Cisco Systems, Inc.",1.70496E+11,1990,Technology,Computer Communications Equipment,31/10/17
CTRN,"Citi Trends, Inc.",301792129.6,2005,Consumer Services,Clothing/Shoe/Accessory Stores,31/10/17
CTXR,"Citius Pharmaceuticals, Inc.",24263226.12,n/a,Health Care,Major Pharmaceuticals,31/10/17
CTXRW,"Citius Pharmaceuticals, Inc.",0,n/a,Health Care,Major Pharmaceuticals,31/10/17
CZNC,Citizens & Northern Corp,313110518.1,n/a,Finance,Major Banks,31/10/17
CZWI,"Citizens Community Bancorp, Inc.",80172889.52,n/a,Finance,Savings Institutions,31/10/17
CZFC,Citizens First Corporation,59622497.2,n/a,Finance,Major Banks,31/10/17
CIZN,Citizens Holding Company,117714625,n/a,Finance,Major Banks,31/10/17
CTXS,"Citrix Systems, Inc.",12529986578,1995,Technology,Computer Software: Prepackaged Software,31/10/17
CHCO,City Holding Company,1129438001,n/a,Finance,Major Banks,31/10/17
CIVB,"Civista Bancshares, Inc. ",225791293.8,n/a,Finance,Major Banks,31/10/17
CIVBP,"Civista Bancshares, Inc. ",0,n/a,Finance,Major Banks,31/10/17
CLAR,Clarus Corporation,223595099.3,n/a,Consumer Non-Durables,Recreational Products/Toys,31/10/17
CDTI,"Clean Diesel Technologies, Inc.",26264986.79,n/a,Capital Goods,Pollution Control Equipment,31/10/17
CLNE,Clean Energy Fuels Corp.,345586762.5,2007,Public Utilities,Natural Gas Distribution,31/10/17
CLNT,"Cleantech Solutions International, Inc.",8436045.3,n/a,Technology,Industrial Machinery/Components,31/10/17
CACG,ClearBridge All Cap Growth ETF,0,n/a,n/a,n/a,31/10/17
YLDE,ClearBridge Dividend Strategy ESG ETF,0,n/a,n/a,n/a,31/10/17
LRGE,ClearBridge Large Cap Growth ESG ETF,0,n/a,n/a,n/a,31/10/17
CLFD,"Clearfield, Inc.",191605012.5,n/a,Public Utilities,Telecommunications Equipment,31/10/17
CLRO,"ClearOne, Inc.",62421591.9,n/a,Public Utilities,Telecommunications Equipment,31/10/17
CLSD,"Clearside Biomedical, Inc.",180395751.8,2016,Health Care,Major Pharmaceuticals,31/10/17
CLIR,ClearSign Combustion Corporation,49932329.6,2012,Capital Goods,Industrial Machinery/Components,31/10/17
CLIRW,ClearSign Combustion Corporation,0,n/a,Capital Goods,Industrial Machinery/Components,31/10/17
CMTA,Clementia Pharmaceuticals Inc.,491783268.2,2017,Health Care,Major Pharmaceuticals,31/10/17
CBLI,"Cleveland BioLabs, Inc.",33275510.3,2006,Health Care,Biotechnology: Commercial Physical & Biological Resarch,31/10/17
CSBK,Clifton Bancorp Inc.,378191650.6,n/a,Finance,Savings Institutions,31/10/17
CLVS,"Clovis Oncology, Inc.",3763221464,2011,Health Care,Major Pharmaceuticals,31/10/17
CMFN,CM Finance Inc,118758347,2014,n/a,n/a,31/10/17
CMSSU,CM Seven Star Acquisition Corporation,0,2017,n/a,n/a,31/10/17
CME,CME Group Inc.,46754917195,2002,Finance,Investment Bankers/Brokers/Service,31/10/17
CCNE,CNB Financial Corporation,443883253.4,n/a,Finance,Major Banks,31/10/17
CWAY,"Coastway Bancorp, Inc.",88068442.05,2014,Finance,Savings Institutions,31/10/17
COBZ,CoBiz Financial Inc.,871489622.4,1998,Finance,Major Banks,31/10/17
COKE,Coca-Cola Bottling Co. Consolidated,2077505994,1972,Consumer Non-Durables,Beverages (Production/Distribution),31/10/17
CODA,"Coda Octopus Group, Inc.",41964548.8,n/a,Capital Goods,Industrial Machinery/Components,31/10/17
CDXS,"Codexis, Inc.",318941086.2,2010,Basic Industries,Major Chemicals,31/10/17
CODX,"Co-Diagnostics, Inc.",71507850,2017,Health Care,Medical/Dental Instruments,31/10/17
CVLY,"Codorus Valley Bancorp, Inc",299906143.9,n/a,Finance,Savings Institutions,31/10/17
JVA,"Coffee Holding Co., Inc.",25432044.12,2005,Consumer Non-Durables,Food Distributors,31/10/17
CCOI,"Cogent Communications Holdings, Inc.",2420833735,n/a,Consumer Services,Telecommunications Equipment,31/10/17
CGNT,"Cogentix Medical, Inc.",160205866.1,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,31/10/17
COGT,"Cogint, Inc.",256907598.9,n/a,Consumer Services,Advertising,31/10/17
CGNX,Cognex Corporation,10856168426,1989,Capital Goods,Industrial Machinery/Components,31/10/17
CTSH,Cognizant Technology Solutions Corporation,44527044674,1998,Technology,EDP Services,31/10/17
COHR,"Coherent, Inc.",6429056853,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,31/10/17
CHRS,"Coherus BioSciences, Inc.",642859863.3,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
COHU,"Cohu, Inc.",703469951.8,n/a,Capital Goods,Electrical Products,31/10/17
CLCT,"Collectors Universe, Inc.",221151540.4,1999,Miscellaneous,Business Services,31/10/17
COLL,"Collegium Pharmaceutical, Inc.",293895731.5,2015,Health Care,Major Pharmaceuticals,31/10/17
CIGI,Colliers International Group Inc. ,2044621564,n/a,Finance,Real Estate,31/10/17
CBAN,"Colony Bankcorp, Inc.",117305686.2,n/a,Finance,Major Banks,31/10/17
COLB,"Columbia Banking System, Inc.",2574017011,1992,Finance,Major Banks,31/10/17
COLM,Columbia Sportswear Company,4543316779,1998,Consumer Non-Durables,Apparel,31/10/17
CMCO,Columbus McKinnon Corporation,841435427.7,1996,Capital Goods,Construction/Ag Equipment/Trucks,31/10/17
CBMX,CombiMatrix Corporation,22620126.5,n/a,Health Care,Hospital/Nursing Management,31/10/17
CBMXW,CombiMatrix Corporation,0,n/a,Health Care,Hospital/Nursing Management,31/10/17
CMCSA,Comcast Corporation,1.73405E+11,n/a,Consumer Services,Television Services,31/10/17
CBSH,"Commerce Bancshares, Inc.",5970495716,n/a,Finance,Major Banks,31/10/17
CBSHP,"Commerce Bancshares, Inc.",2439467554,n/a,Finance,Major Banks,31/10/17
CUBN,"Commerce Union Bancshares, Inc.",225101345.1,n/a,Finance,Major Banks,31/10/17
CHUBA,"CommerceHub, Inc.",966193115.1,n/a,Technology,Computer Software: Prepackaged Software,31/10/17
CHUBK,"CommerceHub, Inc.",922078657.8,n/a,Technology,Computer Software: Prepackaged Software,31/10/17
CVGI,"Commercial Vehicle Group, Inc.",252800128.8,2004,Capital Goods,Auto Parts:O.E.M.,31/10/17
COMM,"CommScope Holding Company, Inc.",6121339782,2013,Technology,Radio And Television Broadcasting And Communications Equipment,31/10/17
JCS,"Communications Systems, Inc.",39139218.91,n/a,Public Utilities,Telecommunications Equipment,31/10/17
ESXB,Community Bankers Trust Corporation.,197233128,n/a,Finance,Major Banks,31/10/17
CCFI,Community Choice Financial Inc.,0,n/a,n/a,n/a,31/10/17
CFBI,"Community First Bancshares, Inc.",98821180.73,2017,Finance,Savings Institutions,31/10/17
CYHHZ,"Community Health Systems, Inc.",0,n/a,Health Care,Hospital/Nursing Management,31/10/17
CTBI,"Community Trust Bancorp, Inc.",892559220,n/a,Finance,Major Banks,31/10/17
CWBC,Community West Bancshares,84861285.6,n/a,Finance,Major Banks,31/10/17
CVLT,"Commvault Systems, Inc.",2337305190,2006,Technology,Computer Software: Prepackaged Software,31/10/17
CGEN,Compugen Ltd.,166178207,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
CPSI,"Computer Programs and Systems, Inc.",411296207.4,2002,Technology,EDP Services,31/10/17
CTG,"Computer Task Group, Incorporated",79754933.2,n/a,Technology,EDP Services,31/10/17
CHCI,"Comstock Holding Companies, Inc.",5686908.795,2004,Capital Goods,Homebuilding,31/10/17
CMTL,Comtech Telecommunications Corp.,506626012.7,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,31/10/17
CNAT,Conatus Pharmaceuticals Inc.,144323670,2013,Health Care,Major Pharmaceuticals,31/10/17
CNCE,"Concert Pharmaceuticals, Inc.",377741663.6,2014,Health Care,Major Pharmaceuticals,31/10/17
CXRX,Concordia International Corp.,28723426.27,n/a,Health Care,Major Pharmaceuticals,31/10/17
CCUR,Concurrent Computer Corporation,63816964.35,n/a,Technology,Computer Manufacturing,31/10/17
CDOR,"Condor Hospitality Trust, Inc.",120839409.2,n/a,Consumer Services,Real Estate Investment Trusts,31/10/17
CFMS,"ConforMIS, Inc.",159318641.6,2015,Health Care,Industrial Specialties,31/10/17
CNFR,"Conifer Holdings, Inc.",55587403.38,2015,Finance,Property-Casualty Insurers,31/10/17
CNMD,CONMED Corporation,1471602231,1987,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,31/10/17
CTWS,"Connecticut Water Service, Inc.",720452896,n/a,Public Utilities,Water Supply,31/10/17
CNOB,"ConnectOne Bancorp, Inc.",867615090.7,n/a,Finance,Major Banks,31/10/17
CNXR,"Connecture, Inc.",7092113.97,2014,Technology,Computer Software: Prepackaged Software,31/10/17
CONN,"Conn&#39;s, Inc.",978337600.4,2003,Consumer Services,Consumer Electronics/Video Chains,31/10/17
CNSL,"Consolidated Communications Holdings, Inc.",1362913538,2005,Public Utilities,Telecommunications Equipment,31/10/17
CWCO,Consolidated Water Co. Ltd.,189239194.8,n/a,Public Utilities,Water Supply,31/10/17
CNAC,Constellation Alpha Capital Corp.,180296900,2017,Finance,Business Services,31/10/17
CNACR,Constellation Alpha Capital Corp.,0,2017,Finance,Business Services,31/10/17
CNACU,Constellation Alpha Capital Corp.,0,2017,Finance,Business Services,31/10/17
CNACW,Constellation Alpha Capital Corp.,0,2017,Finance,Business Services,31/10/17
CPSS,"Consumer Portfolio Services, Inc.",100020874.8,1992,Finance,Finance: Consumer Services,31/10/17
CFRX,ContraFect Corporation,76602246.24,2014,Health Care,Major Pharmaceuticals,31/10/17
CTRV,ContraVir Pharmaceuticals Inc,48127129.73,n/a,Health Care,Major Pharmaceuticals,31/10/17
CTRL,Control4 Corporation,712114687.7,2013,Capital Goods,Electrical Products,31/10/17
CPRT,"Copart, Inc.",8280147511,1994,Consumer Durables,Automotive Aftermarket,31/10/17
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",356583371,n/a,Health Care,Major Pharmaceuticals,31/10/17
CORT,Corcept Therapeutics Incorporated,2113735011,1982,Health Care,Major Pharmaceuticals,31/10/17
CORE,"Core-Mark Holding Company, Inc.",1558772820,n/a,Consumer Non-Durables,Food Distributors,31/10/17
CORI,"Corium International, Inc.",340270075.6,2014,Health Care,Major Pharmaceuticals,31/10/17
CSOD,"Cornerstone OnDemand, Inc.",2278401821,2011,Technology,Computer Software: Prepackaged Software,31/10/17
CRVL,CorVel Corp.,1127216068,n/a,Finance,Specialty Insurers,31/10/17
CRVS,"Corvus Pharmaceuticals, Inc.",304178488.4,2016,Health Care,Major Pharmaceuticals,31/10/17
CSGP,"CoStar Group, Inc.",10821465223,1998,Miscellaneous,Business Services,31/10/17
COST,Costco Wholesale Corporation,70958372222,n/a,Consumer Services,Department/Specialty Retail Stores,31/10/17
CPAH,CounterPath Corporation,14061451.72,n/a,Technology,Computer Software: Prepackaged Software,31/10/17
ICBK,"County Bancorp, Inc.",204082816.1,2015,Finance,Major Banks,31/10/17
COUP,Coupa Software Incorporated,1847199733,2016,Technology,Computer Software: Prepackaged Software,31/10/17
CVTI,"Covenant Transportation Group, Inc.",533816941.4,1994,Transportation,Trucking Freight/Courier Services,31/10/17
COWN,Cowen Inc.,486309211.2,n/a,Finance,Investment Bankers/Brokers/Service,31/10/17
COWNL,Cowen Inc.,0,n/a,Finance,Investment Bankers/Brokers/Service,31/10/17
PMTS,CPI Card Group Inc.,65042668.08,2015,Finance,Finance Companies,31/10/17
CPSH,CPS Technologies Corp.,15315985.76,n/a,Capital Goods,Building Materials,31/10/17
CRAI,"CRA International,Inc.",348950048.1,1998,Miscellaneous,Other Consumer Services,31/10/17
CBRL,"Cracker Barrel Old Country Store, Inc.",3779189073,1981,Consumer Services,Restaurants,31/10/17
BREW,"Craft Brew Alliance, Inc.",336676373.8,n/a,Consumer Non-Durables,Beverages (Production/Distribution),31/10/17
CRAY,Cray Inc,728687073.8,n/a,Technology,Computer Manufacturing,31/10/17
CACC,Credit Acceptance Corporation,5773771328,1992,Finance,Finance: Consumer Services,31/10/17
USOI,Credit Suisse AG,0,n/a,Finance,Investment Bankers/Brokers/Service,31/10/17
CREE,"Cree, Inc.",3203132667,1993,Technology,Semiconductors,31/10/17
CRESY,Cresud S.A.C.I.F. y A.,807543765,1997,Finance,Real Estate,31/10/17
CRSP,CRISPR Therapeutics AG,769212127.6,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
CRTO,Criteo S.A.,2644504368,2013,Technology,Advertising,31/10/17
CROX,"Crocs, Inc.",762107225.6,2006,Consumer Non-Durables,Shoe Manufacturing,31/10/17
CCRN,"Cross Country Healthcare, Inc.",510190355.9,2001,Technology,Professional Services,31/10/17
CRWS,"Crown Crafts, Inc.",62358136.8,n/a,Basic Industries,Textiles,31/10/17
CYRX,"CryoPort, Inc.",183628175.8,n/a,Transportation,Oil Refining/Marketing,31/10/17
CYRXW,"CryoPort, Inc.",0,n/a,Transportation,Oil Refining/Marketing,31/10/17
CSGS,"CSG Systems International, Inc.",1400478529,1996,Technology,EDP Services,31/10/17
CCLP,CSI Compressco LP,185386475.5,2011,Energy,Oilfield Services/Equipment,31/10/17
CSPI,CSP Inc.,43787186.28,1982,Technology,EDP Services,31/10/17
CSWI,"CSW Industrials, Inc.",792015155,n/a,Basic Industries,Home Furnishings,31/10/17
CSX,CSX Corporation,46956210781,n/a,Transportation,Railroads,31/10/17
CTIC,CTI BioPharma Corp.,135823669.8,1997,Health Care,Major Pharmaceuticals,31/10/17
CTIB,CTI Industries Corporation,13395862.6,1997,Basic Industries,Specialty Chemicals,31/10/17
CTRP,"Ctrip.com International, Ltd.",21589293433,2003,Miscellaneous,Business Services,31/10/17
CUI,"CUI Global, Inc.",69076563.64,n/a,Consumer Non-Durables,Electronic Components,31/10/17
CPIX,Cumberland Pharmaceuticals Inc.,116998814.1,2009,Health Care,Major Pharmaceuticals,31/10/17
CMLS,Cumulus Media Inc.,12894804.56,1998,Consumer Services,Broadcasting,31/10/17
CRIS,"Curis, Inc.",224451169.8,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
CUTR,"Cutera, Inc.",546197457,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,31/10/17
CVBF,CVB Financial Corporation,2675568737,n/a,Finance,Major Banks,31/10/17
CVV,CVD Equipment Corporation,68332991.58,n/a,Technology,Industrial Machinery/Components,31/10/17
CYAN,Cyanotech Corporation,28142635.95,n/a,Consumer Durables,Specialty Chemicals,31/10/17
CYBR,CyberArk Software Ltd.,1483296593,2014,Technology,Computer Software: Prepackaged Software,31/10/17
CYBE,CyberOptics Corporation,98294836.5,1987,Capital Goods,Electronic Components,31/10/17
CYCC,"Cyclacel Pharmaceuticals, Inc.",18810737.55,n/a,Health Care,Major Pharmaceuticals,31/10/17
CYCCP,"Cyclacel Pharmaceuticals, Inc.",2292328.556,n/a,Health Care,Major Pharmaceuticals,31/10/17
CBAY,CymaBay Therapeutics Inc.,403001675.3,n/a,Health Care,Major Pharmaceuticals,31/10/17
CY,Cypress Semiconductor Corporation,5359709123,1986,Technology,Semiconductors,31/10/17
CYRN,CYREN Ltd.,66614714.2,n/a,Technology,Computer Software: Prepackaged Software,31/10/17
CONE,CyrusOne Inc,5493980905,2013,Consumer Services,Real Estate Investment Trusts,31/10/17
CYTK,"Cytokinetics, Incorporated",764751344.3,2004,Health Care,Major Pharmaceuticals,31/10/17
CTMX,"CytomX Therapeutics, Inc.",747670202.8,2015,Health Care,Major Pharmaceuticals,31/10/17
CYTX,Cytori Therapeutics Inc,14886357.16,n/a,Health Care,Medical/Dental Instruments,31/10/17
CYTXW,Cytori Therapeutics Inc,0,n/a,Health Care,Medical/Dental Instruments,31/10/17
CTSO,Cytosorbents Corporation,174430713.2,n/a,Health Care,Medical/Dental Instruments,31/10/17
CYTR,CytRx Corporation,56065702.98,1986,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
DJCO,Daily Journal Corp. (S.C.),325856056,n/a,Consumer Services,Newspapers/Magazines,31/10/17
DAKT,"Daktronics, Inc.",463251172.5,1994,Consumer Durables,Miscellaneous manufacturing industries,31/10/17
DARE,"Dare Bioscience, Inc.",16024987.25,2014,Health Care,Major Pharmaceuticals,31/10/17
DRIO,DarioHealth Corp.,18592607.52,n/a,Health Care,Medical/Dental Instruments,31/10/17
DRIOW,DarioHealth Corp.,0,n/a,Health Care,Medical/Dental Instruments,31/10/17
DZSI,"DASAN Zhone Solutions, Inc.",104375348.4,n/a,Public Utilities,Telecommunications Equipment,31/10/17
DSKE,"Daseke, Inc.",620161115.5,2015,Consumer Services,Transportation Services,31/10/17
DSKEW,"Daseke, Inc.",0,2015,Consumer Services,Transportation Services,31/10/17
DAIO,Data I/O Corporation,97906442.18,1981,Capital Goods,Electrical Products,31/10/17
DWCH,Datawatch Corporation,143953628,1992,Technology,Computer Software: Prepackaged Software,31/10/17
PLAY,"Dave & Buster&#39;s Entertainment, Inc.",1997510252,2014,Consumer Services,Restaurants,31/10/17
DTEA,DAVIDsTEA Inc.,121027867.8,2015,Consumer Non-Durables,Food Chains,31/10/17
